subj_metric,obj_metric,n,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_holm,spearman_p_bh,pearson_p_holm,pearson_p_bh
TPA_Total_mean,T_task_sec_mean,4,-1.0,0.0,-0.9750168214327332,0.02498317856726695,0.0,0.0,1.0,0.1998654285381356
TPA_Total_mean,T_task_sec_median,4,-1.0,0.0,-0.9963970922139901,0.0036029077860098013,0.0,0.0,0.22338028273260768,0.059765191408267526
TPA_Total_mean,N_cmds_mean,4,-0.39999999999999997,0.6,-0.4389248278199357,0.5610751721800642,1.0,0.7384615384615384,1.0,0.744912903573819
TPA_Total_mean,N_cmds_median,4,-0.10540925533894598,0.894590744661054,-0.37063272392660024,0.6293672760733997,1.0,0.894590744661054,1.0,0.7459167716425478
TPA_Total_mean,N_actuations_mean,4,-0.39999999999999997,0.6,-0.6278868583446251,0.3721131416553749,1.0,0.7384615384615384,1.0,0.6173418060492887
TPA_Total_mean,N_actuations_median,4,0.19999999999999998,0.8,0.13807390520581347,0.8619260947941865,1.0,0.8258064516129032,1.0,0.9493800033871342
TPA_Total_median,logT_mean,4,-1.0,0.0,-0.9888537503416367,0.011146249658363416,0.0,0.0,0.6576287298434416,0.11889332968920978
TPA_Total_median,logT_median,4,-1.0,0.0,-0.9969144015276525,0.0030855984723474617,0.0,0.0,0.19439270375789008,0.059765191408267526
TPA_Total_median,T_task_sec_mean,4,-1.0,0.0,-0.9757346102811784,0.02426538971882164,0.0,0.0,1.0,0.1998654285381356
TPA_Total_median,T_task_sec_median,4,-1.0,0.0,-0.9962646755369833,0.0037353244630167204,0.0,0.0,0.22785479224401994,0.059765191408267526
TPA_Total_median,N_cmds_mean,4,-0.39999999999999997,0.6,-0.45092552242159956,0.5490744775784004,1.0,0.7384615384615384,1.0,0.744912903573819
TPA_Total_median,N_cmds_median,4,-0.10540925533894598,0.894590744661054,-0.3831580947480139,0.6168419052519862,1.0,0.894590744661054,1.0,0.744912903573819
TPA_Total_median,N_actuations_mean,4,-0.39999999999999997,0.6,-0.6380140568173264,0.3619859431826735,1.0,0.7384615384615384,1.0,0.6173418060492887
TPA_Total_median,N_actuations_median,4,0.19999999999999998,0.8,0.12479030937748549,0.8752096906225144,1.0,0.8258064516129032,1.0,0.9493800033871342
NASA_Overall_mean,logT_mean,4,0.7999999999999999,0.20000000000000007,0.9248031895372615,0.07519681046273852,1.0,0.6400000000000002,1.0,0.36999202124604025
NASA_Overall_mean,logT_median,4,0.7999999999999999,0.20000000000000007,0.9538777906310281,0.046122209368971934,1.0,0.6400000000000002,1.0,0.32798015551268933
NASA_Overall_mean,T_task_sec_mean,4,0.7999999999999999,0.20000000000000007,0.9025340839598491,0.09746591604015098,1.0,0.6400000000000002,1.0,0.38589447172467867
NASA_Overall_mean,T_task_sec_median,4,0.7999999999999999,0.20000000000000007,0.9467677078285733,0.053232292171426554,1.0,0.6400000000000002,1.0,0.33242965285719284
NASA_Overall_mean,N_cmds_mean,4,0.7999999999999999,0.20000000000000007,0.5402356500689661,0.45976434993103377,1.0,0.6400000000000002,1.0,0.7176809364777113
NASA_Overall_mean,N_cmds_median,4,0.632455532033676,0.367544467966324,0.4640457581117953,0.5359542418882046,1.0,0.6736842105263157,1.0,0.744912903573819
NASA_Overall_mean,N_actuations_mean,4,0.7999999999999999,0.20000000000000007,0.7249879348556761,0.27501206514432397,1.0,0.6400000000000002,1.0,0.5367512554784795
NASA_Overall_mean,N_actuations_median,4,0.39999999999999997,0.6,-0.007391967874078309,0.9926080321259216,1.0,0.7384615384615384,1.0,0.9926080321259216
NASA_Overall_median,logT_mean,4,0.7999999999999999,0.20000000000000007,0.9067445010767156,0.09325549892328455,1.0,0.6400000000000002,1.0,0.38589447172467867
NASA_Overall_median,logT_median,4,0.7999999999999999,0.20000000000000007,0.9428636534151699,0.05713634658483002,1.0,0.6400000000000002,1.0,0.33242965285719284
NASA_Overall_median,T_task_sec_mean,4,0.7999999999999999,0.20000000000000007,0.8785505478409199,0.1214494521590801,1.0,0.6400000000000002,1.0,0.40493858015265766
NASA_Overall_median,T_task_sec_median,4,0.7999999999999999,0.20000000000000007,0.9314939195688067,0.06850608043119344,1.0,0.6400000000000002,1.0,0.36536576229969836
NASA_Overall_median,N_cmds_mean,4,0.7999999999999999,0.20000000000000007,0.5120327512833197,0.4879672487166804,1.0,0.6400000000000002,1.0,0.7397654588867775
NASA_Overall_median,N_cmds_median,4,0.632455532033676,0.367544467966324,0.4321427793809733,0.5678572206190267,1.0,0.6736842105263157,1.0,0.744912903573819
NASA_Overall_median,N_actuations_mean,4,0.7999999999999999,0.20000000000000007,0.7027459496122086,0.2972540503877914,1.0,0.6400000000000002,1.0,0.5595370360240779
NASA_Overall_median,N_actuations_median,4,0.39999999999999997,0.6,-0.03159970293818065,0.9684002970618193,1.0,0.7384615384615384,1.0,0.9926080321259216
