participant,condition,T_task_sec,logT_task,N_cmds,N_actuations,n_devices_final,n_colors_required,avg_cmd_time
13,SR,179.5834655,5.184548778830953,2.0,5.0,3.0,2.0,66.20991106666666
14,Label,34.003858550000004,3.5263945942402355,1.0,3.5,3.0,2.0,21.85582531111111
14,P+SR,38.289874999999995,3.6440568149833066,1.0,2.5,2.0,2.0,30.3391285
14,Pointing,24.66273975,3.2007000867893094,2.0,4.0,3.0,2.0,12.6185241
14,SR,76.357225,4.332183355184536,3.5,8.0,3.0,2.0,18.4072655
15,Label,54.81072,4.0038822485379235,2.0,3.0,2.5,2.0,36.66685295
15,P+SR,44.3549479,3.791869202642614,1.0,3.0,3.0,2.0,29.05878355
15,Pointing,46.58626365,3.8326930097350935,2.0,4.0,3.0,2.0,26.86345005
15,SR,80.67150495,4.389002999374994,2.0,5.5,3.5,2.0,31.517884958333333
16,Label,41.286313199999995,3.7204638521349502,1.5,5.0,3.0,2.0,30.889444325
16,P+SR,23.1499443,3.1408109998415776,1.0,3.0,3.0,2.0,20.50295355
16,Pointing,24.15831755,3.1836031704752186,2.0,3.0,2.0,2.0,13.915787224999999
16,SR,69.58829,4.239425794887026,2.0,4.5,2.5,2.0,32.7395745
17,Label,55.39857485,4.014161734850573,2.5,4.5,2.5,2.0,19.5687370375
17,P+SR,31.080024700000003,3.4317860221538257,1.0,3.0,3.0,2.0,22.33872985
17,Pointing,29.6255207,3.387963205289732,2.0,5.0,3.0,2.0,16.7628721
17,SR,59.001661,4.07064957919324,2.0,4.5,3.0,2.0,25.34026845
18,Label,42.186679850000004,3.7396624791660744,2.0,3.5,3.0,2.0,26.616931
18,P+SR,29.0701523,3.3681886188247407,1.0,3.0,3.0,2.0,29.0701523
18,Pointing,25.444139,3.2363766414790422,2.0,3.0,2.0,2.0,14.255957125
18,SR,54.7119566,4.001676333579122,1.0,3.0,2.5,2.0,37.3066932
19,Label,48.91708775,3.8900014632541273,2.0,5.0,3.0,2.0,25.502458975
19,P+SR,23.4566116,3.1544566929200153,1.0,4.0,3.0,2.0,21.80559155
19,Pointing,32.0068491,3.4632735157407675,2.0,5.5,3.0,2.0,17.9245247
19,SR,36.9146624,3.6083910699055854,2.0,3.0,2.0,2.0,17.50234555
20,Label,90.216105,4.501530926172151,2.0,6.0,3.0,2.0,45.27681
20,P+SR,37.973565,3.633584019090446,1.0,2.0,2.0,2.0,34.2048824
20,Pointing,36.9626971,3.605252065873777,2.0,6.0,3.0,2.0,25.125808166666665
20,SR,90.6729827,4.507250077914669,2.0,4.0,3.0,2.0,46.82278635
21,Label,72.989,4.283182148807915,1.0,3.5,3.0,2.0,56.30721543333334
21,P+SR,80.30791769999999,4.3858682091488115,1.0,3.5,3.0,2.0,51.01197248333334
21,Pointing,37.2990608,3.6187004861924743,2.5,5.5,2.5,2.0,20.8205185
21,SR,96.13899625,4.563744008446002,1.0,4.0,3.5,2.0,66.60084325
22,Label,40.890505000000005,3.7096421115221068,1.0,3.5,3.0,2.0,36.6320312
22,P+SR,37.329700450000004,3.6122777101742836,1.0,3.0,3.0,2.0,37.329700450000004
22,Pointing,59.59526725,4.087148639422827,2.0,4.0,3.0,2.0,39.317598325000006
22,SR,63.105976,4.144793458113812,2.0,3.5,2.5,2.0,36.829177825
23,Label,63.06192659999999,4.14129986374196,1.5,4.5,3.0,2.0,47.89435999999999
23,P+SR,39.275565,3.6583660863603362,1.0,3.5,3.0,2.0,32.959133949999995
23,Pointing,34.54595125,3.5417018138993765,2.0,3.0,2.0,2.0,18.657626825
23,SR,61.12376695,4.1108303802504675,2.0,4.5,3.0,2.0,33.616420000000005
24,Label,63.3633966,4.397449710228132,1.0,3.0,3.0,2.0,44.824350933333335
24,P+SR,41.977073000000004,3.737111734489469,1.0,2.0,2.0,2.0,33.648471825
24,Pointing,23.9719601,3.1767334621366903,2.0,3.5,2.5,2.0,19.545190650000002
24,SR,47.41452285,3.8548651978692314,1.0,3.5,3.5,2.0,47.41452285
