participant,condition,file,taskId,T_task_sec,N_cmds,N_actuations,n_devices_final,n_colors_required
11,Pointing,3_C.json,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,32.3114243,1,3,3,1
11,Pointing,3_C.json,3bc363f5-3c91-4c51-8139-93034b21f3a9,20.7450943,1,1,1,1
11,Pointing,3_C.json,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,50.8949432,2,6,4,2
11,Pointing,3_C.json,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,35.1736679,2,3,2,2
11,Pointing,3_C.json,7612d934-759d-4a55-9a58-ef65940b7162,52.7510872,3,6,3,3
11,Pointing,3_C.json,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,37.71689,1,2,2,1
11,Pointing,3_C.json,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,20.490572,1,1,1,1
11,Pointing,3_C.json,e0153245-d5d9-449a-87f1-2a35d3239eef,43.6954041,2,9,6,2
11,Pointing,3_C.json,04f5e376-2845-485a-8cb1-c38e3858ff8a,34.4756241,2,6,4,2
11,Pointing,3_C.json,e81806f6-a4f2-4336-b77b-3407e101bc18,31.2091484,2,5,3,2
11,SR,1_B.json,1a84f2f7-1739-41af-94ae-9a3c6677e61d,64.08883,3,7,3,2
11,SR,1_B.json,386be10f-0686-4118-928d-b57f06593b2f,78.62865,4,13,4,2
11,SR,1_B.json,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,44.73259,1,1,1,1
11,SR,1_B.json,25c3ccdb-26c7-4109-bcfe-730434f9caa9,39.47451,1,2,2,1
11,SR,1_B.json,4fd86244-384f-4a69-adc8-6fd13c16422c,97.34027,5,12,4,3
11,SR,1_B.json,19e8d0a8-02bf-4644-9732-e4190e13825e,242.860245,3,7,4,2
11,SR,1_B.json,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,151.129364,3,14,7,2
11,SR,1_B.json,95479aa7-9c98-49e4-817e-727302518dae,77.71267,4,17,6,1
11,SR,1_B.json,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,55.7783623,3,9,4,2
11,SR,1_B.json,4f145d76-f69f-4547-90a7-56281733ca5b,41.7536125,2,5,3,2
11,SR,1_B.json,fcee09b7-efa4-4e87-956e-553ee7bb3648,24.39209,1,2,2,1
11,SR,1_B.json,9e93766e-b621-4d6e-9927-173ac982bf3a,50.003685,3,6,3,2
12,Label,4_A.json,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,79.86022,2,3,2,1
12,Label,4_A.json,f548cabb-2a47-4399-a702-f76d5d1336df,143.823425,4,8,2,1
12,Label,4_A.json,81c1a60b-c8ac-4a16-b831-1df68863e61e,182.560791,7,16,3,2
12,Label,4_A.json,137e922c-0877-46af-a797-5a32df2edf5d,46.3814659,1,3,3,3
12,Label,4_A.json,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,40.6587524,2,4,2,2
12,Label,4_A.json,c87d383c-41db-4303-8615-9271bbf2465e,39.6804047,1,2,2,2
12,Label,4_A.json,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,37.977375,1,6,6,2
12,Label,4_A.json,8aeed698-e7ee-41ef-bfe7-56f37e2232ab,90.11824,3,7,3,3
12,Label,4_A.json,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,31.6412487,2,2,1,1
12,Label,4_A.json,d58fe3c1-28a0-4e49-9e2f-e72569f6e61e,37.4702225,1,4,4,3
12,Label,4_A.json,fe0ef0b0-c647-4b3a-b2f6-68a75133a566,18.6026325,1,1,1,1
12,Label,4_A.json,eee4a904-a6ad-4369-970f-b656e1f59f12,41.187027,1,2,2,2
12,Pointing,3_B.json,fcee09b7-efa4-4e87-956e-553ee7bb3648,33.545948,1,2,2,1
12,Pointing,3_B.json,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,45.8063622,2,9,6,2
12,Pointing,3_B.json,95479aa7-9c98-49e4-817e-727302518dae,20.726881,1,3,3,1
12,Pointing,3_B.json,19e8d0a8-02bf-4644-9732-e4190e13825e,29.4045048,2,6,4,2
12,Pointing,3_B.json,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,22.4515553,1,1,1,1
12,Pointing,3_B.json,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,40.0435867,2,6,4,2
12,Pointing,3_B.json,1a84f2f7-1739-41af-94ae-9a3c6677e61d,71.63541,4,10,3,2
12,Pointing,3_B.json,4fd86244-384f-4a69-adc8-6fd13c16422c,58.6179,3,6,3,3
