participant,condition,taskId,T_task_sec,logT_task,N_cmds,N_actuations,n_devices_final,n_colors_required,avg_cmd_time
10,Label,1a84f2f7-1739-41af-94ae-9a3c6677e61d,25.40648,3.235004259597636,1,3,3,2,25.40648
10,Label,4f145d76-f69f-4547-90a7-56281733ca5b,50.9055748,3.9299724421170574,2,4,2,2,25.4527874
10,Label,fcee09b7-efa4-4e87-956e-553ee7bb3648,26.2481251,3.267594561724858,1,2,2,1,26.2481251
10,Label,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,22.28995,3.1041359042368946,1,1,1,1,22.28995
10,Label,19e8d0a8-02bf-4644-9732-e4190e13825e,34.9136,3.5528764381147275,2,6,4,2,17.4568
10,Label,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,34.382473,3.5375469287232066,2,9,6,2,17.1912365
10,Label,95479aa7-9c98-49e4-817e-727302518dae,14.8778629,2.699874396778446,1,3,3,1,14.8778629
10,Label,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,32.2311134,3.4729322406852114,2,6,4,2,16.1155567
10,Label,9e93766e-b621-4d6e-9927-173ac982bf3a,14.0510159,2.64269469921562,1,2,2,2,14.0510159
11,P+SR,40573e58-0087-4bb3-9ed7-d18a24a35b78,50.5299225,3.9225656855603095,3,18,9,3,16.843307499999998
11,P+SR,c78550a2-290e-4b94-98db-961c2110c668,30.84306,3.428911765562856,2,6,4,2,15.42153
11,P+SR,fdf65cab-a9a0-4e5f-ac35-c3cff2196644,18.3327656,2.908689928812138,1,4,4,1,18.3327656
11,P+SR,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,20.9297714,3.0411726142769044,1,3,3,1,20.9297714
11,P+SR,ae59cd40-20ff-4809-8cbb-87c7cc41665c,44.99065,3.806454690403749,3,10,4,2,14.996883333333335
11,P+SR,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,34.35831,3.536843910807476,2,3,2,2,17.179155
11,P+SR,2e919b0d-6d84-4641-a535-930a7ca6c8b7,31.55604,3.4517650128198203,1,3,3,3,31.55604
11,P+SR,bee10050-f98c-456a-a684-4435ee88ef00,25.3456249,3.232606127371006,1,3,3,3,25.3456249
11,P+SR,79dc7e7b-d1c7-4237-908d-f541b20406d4,26.5497417,3.279020018827063,1,1,1,1,26.5497417
11,P+SR,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,25.9863453,3.257571219296528,2,6,4,2,12.99317265
11,P+SR,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,21.3477764,3.060947584367754,1,1,1,1,21.3477764
11,P+SR,7aeefa77-f398-4a26-b615-e50c4d05ba64,30.0255375,3.402048269554356,2,3,2,2,15.01276875
11,Pointing,b594ae95-d981-4868-ae48-3f63eb87087a,97.87539,4.583695138977358,2,6,4,2,48.937695
11,Pointing,fd995852-c28d-49e9-97b5-9774af3241c3,98.83795,4.593481640314466,3,12,6,3,32.94598333333334
11,Pointing,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,32.3114243,3.4754208611922626,1,3,3,1,32.3114243
