participant,condition,file,taskId,finalId,T_task_sec,N_cmds,n_devices_required,n_colors_required,device_arrange_id
11,Pointing,3_C.json,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,a25cb870-5b82-4a6b-9798-09f4b4e218dd,32.3114243,1,3,,
11,Pointing,3_C.json,3bc363f5-3c91-4c51-8139-93034b21f3a9,9b9c31d8-342c-4d3a-b4df-a6389c3802f3,20.7450943,1,1,,
11,Pointing,3_C.json,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,9b88ee1c-7ed8-48e8-b35b-4678c55b9ca7,50.8949432,2,4,,
11,Pointing,3_C.json,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,8bfbb070-c4f9-4df1-8992-859ce451cc56,35.1736679,2,2,,
11,Pointing,3_C.json,7612d934-759d-4a55-9a58-ef65940b7162,36ee522e-0a3c-451f-a4ad-eff2ab05703b,52.7510872,3,3,,
11,Pointing,3_C.json,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,8dad484b-072a-409e-a323-7a6935b79565,37.71689,1,2,,
11,Pointing,3_C.json,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,3b36b7ae-39e2-40e8-8d12-c378069b589d,20.490572,1,1,,
11,Pointing,3_C.json,e0153245-d5d9-449a-87f1-2a35d3239eef,ad13f54a-08a1-4bdd-b44e-49ae0116d0f6,43.6954041,2,6,,
11,Pointing,3_C.json,04f5e376-2845-485a-8cb1-c38e3858ff8a,be9976d2-a906-45a0-830a-6a6dedbc9428,34.4756241,2,4,,
11,Pointing,3_C.json,e81806f6-a4f2-4336-b77b-3407e101bc18,51d850b6-cfe3-48bd-b400-f05d52eadae5,31.2091484,2,3,,
11,SR,1_B.json,1a84f2f7-1739-41af-94ae-9a3c6677e61d,f8a254fe-2f8a-4233-80f0-6137b65f8fc0,64.08883,3,3,,
11,SR,1_B.json,386be10f-0686-4118-928d-b57f06593b2f,897a50c2-a785-492f-80aa-57a57d57e3d6,78.62865,4,4,,
11,SR,1_B.json,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,026b49d0-3de3-488b-9c25-0e71b046cd47,44.73259,1,1,,
11,SR,1_B.json,25c3ccdb-26c7-4109-bcfe-730434f9caa9,5ca3abad-5a17-47e6-9518-8350c3e2c387,39.47451,1,2,,
11,SR,1_B.json,4fd86244-384f-4a69-adc8-6fd13c16422c,8a151dd6-a0b7-47f4-a0b5-93dab7ae6e84,97.34027,5,4,,
11,SR,1_B.json,19e8d0a8-02bf-4644-9732-e4190e13825e,70fd47d5-dfd9-4b89-9c2b-5b0bb78b9dfc,242.860245,3,4,,
11,SR,1_B.json,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,0a7057f8-5994-412e-8392-405dfe268235,151.129364,3,7,,
11,SR,1_B.json,95479aa7-9c98-49e4-817e-727302518dae,85710f23-0f48-450f-8ad2-044ac50c6554,77.71267,4,6,,
11,SR,1_B.json,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,dcdb2375-4c07-4cc8-837b-d5f6f96fb26d,55.7783623,3,4,,
11,SR,1_B.json,4f145d76-f69f-4547-90a7-56281733ca5b,2c9e7630-8d1a-46ce-84d4-16b1834080ab,41.7536125,2,3,,
11,SR,1_B.json,fcee09b7-efa4-4e87-956e-553ee7bb3648,66619da2-e75b-4707-8cce-1536e08ae307,24.39209,1,2,,
11,SR,1_B.json,9e93766e-b621-4d6e-9927-173ac982bf3a,66c5fe23-e314-43c2-a3dd-5f9c3201badb,50.003685,3,3,,
12,Label,4_A.json,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,c2413dd2-df87-4413-9ba8-985a96de6238,79.86022,2,2,,
12,Label,4_A.json,f548cabb-2a47-4399-a702-f76d5d1336df,ccd240ee-cf0e-48cc-a761-9aea149d84b7,143.823425,4,2,,
12,Label,4_A.json,81c1a60b-c8ac-4a16-b831-1df68863e61e,1bdec576-aa8d-4831-aac3-219e570640b7,182.560791,7,3,,
12,Label,4_A.json,137e922c-0877-46af-a797-5a32df2edf5d,43a62261-0a37-439c-a75b-d569c84093ba,46.3814659,1,3,,
12,Label,4_A.json,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,3c338e15-1830-4cc2-966d-bba982084a66,40.6587524,2,2,,
12,Label,4_A.json,c87d383c-41db-4303-8615-9271bbf2465e,013eccee-081f-472f-aa47-a503a7a1fe66,39.6804047,1,2,,
12,Label,4_A.json,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,d4136763-7b91-4308-a67d-4bc447054555,37.977375,1,6,,
12,Label,4_A.json,8aeed698-e7ee-41ef-bfe7-56f37e2232ab,ebabdc13-44e1-428c-9271-224cd5958010,90.11824,3,3,,
12,Label,4_A.json,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,5f239fb3-b1de-4188-a30c-13047e96ecd5,31.6412487,2,1,,
12,Label,4_A.json,d58fe3c1-28a0-4e49-9e2f-e72569f6e61e,b80229a5-8059-4e3d-a623-9e9b2b3fc53e,37.4702225,1,4,,
12,Label,4_A.json,fe0ef0b0-c647-4b3a-b2f6-68a75133a566,d708bfeb-e45d-4588-b4a7-55888d05a27b,18.6026325,1,1,,
12,Label,4_A.json,eee4a904-a6ad-4369-970f-b656e1f59f12,8186d8de-b2ec-4562-a9db-0695e809b555,41.187027,1,2,,
12,Pointing,3_B.json,fcee09b7-efa4-4e87-956e-553ee7bb3648,073fa971-eeac-4925-a76f-204259800246,33.545948,1,2,,
12,Pointing,3_B.json,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,3c92820f-6498-4f0a-a2ef-16c9458abd18,45.8063622,2,6,,
12,Pointing,3_B.json,95479aa7-9c98-49e4-817e-727302518dae,a4e90fa1-a84b-486f-a51a-9fc6903856de,20.726881,1,3,,
12,Pointing,3_B.json,19e8d0a8-02bf-4644-9732-e4190e13825e,e72f2f55-d670-4fab-b55e-d5a33646363f,29.4045048,2,4,,
12,Pointing,3_B.json,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,044fa565-1b48-4681-b60c-ee4b86b4367d,22.4515553,1,1,,
12,Pointing,3_B.json,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,af56eef4-bce4-47e1-a94c-2d4d3232ca61,40.0435867,2,4,,
12,Pointing,3_B.json,1a84f2f7-1739-41af-94ae-9a3c6677e61d,1ebcd6de-373c-422c-aabb-cc187fd32970,71.63541,4,3,,
12,Pointing,3_B.json,4fd86244-384f-4a69-adc8-6fd13c16422c,1923525e-eb27-47d4-9b1c-339cf909255e,58.6179,3,3,,
12,Pointing,3_B.json,4f145d76-f69f-4547-90a7-56281733ca5b,e4094459-e638-41e8-aa69-7c43bb6e3018,42.00311,2,2,,
12,Pointing,3_B.json,386be10f-0686-4118-928d-b57f06593b2f,266b14e4-91eb-4404-91c2-1d8ec57fb04c,54.5424423,3,3,,
12,Pointing,3_B.json,25c3ccdb-26c7-4109-bcfe-730434f9caa9,47177575-75f9-4daa-a7f1-41a6c7b52454,22.677042,1,2,,
12,Pointing,3_B.json,9e93766e-b621-4d6e-9927-173ac982bf3a,85a7fe28-acf5-47f3-be84-d8d500fc9ef1,34.792347,2,2,,
12,SR,1_D.json,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,a3baab35-3e1c-4102-824b-211d0dc871d2,32.7313232,1,1,,
12,SR,1_D.json,bee10050-f98c-456a-a684-4435ee88ef00,844e2ff2-eb98-4db8-895d-87cc8c225f87,149.36937,2,3,,
12,SR,1_D.json,c78550a2-290e-4b94-98db-961c2110c668,23b3f1d0-7432-4265-9f0d-48caa36ce3a8,80.22805,2,4,,
12,SR,1_D.json,40573e58-0087-4bb3-9ed7-d18a24a35b78,f0c98faf-a794-43aa-8efd-ff147b72ca37,235.275,2,10,,
12,SR,1_D.json,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,ab90ee82-2f26-437b-af43-634fc69ac917,207.92926,4,3,,
12,SR,1_D.json,7aeefa77-f398-4a26-b615-e50c4d05ba64,54b3235b-3bee-48c6-a881-e6e3d84d7370,174.739655,5,2,,
12,SR,1_D.json,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,526cf029-7755-4acc-9299-3ccce0dbe8f0,134.838547,1,1,,
12,SR,1_D.json,2e919b0d-6d84-4641-a535-930a7ca6c8b7,c988fd61-7370-4900-9ad5-f0fa13978fb6,133.856979,3,3,,
12,SR,1_D.json,79dc7e7b-d1c7-4237-908d-f541b20406d4,e7549dbb-196d-44e4-a459-d41c06c272b1,81.71896,2,1,,
