participant,condition,T_task_sec,N_cmds,n_devices_required,n_colors_required
2,P+SR,66.81898,2,4,
2,P+SR,28.646389,2,2,
2,P+SR,18.54695,1,2,
2,P+SR,22.4913311,1,3,
2,P+SR,24.480484,2,6,
2,P+SR,16.9749928,1,2,
2,P+SR,17.3326511,1,1,
2,P+SR,21.0295582,2,3,
2,P+SR,85.640564,2,4,
2,P+SR,41.818264,2,3,
2,P+SR,23.791811,1,3,
2,P+SR,30.2947025,1,2,
2,SR,27.3179588,1,1,
2,SR,48.4848251,1,2,
2,SR,80.73124,1,3,
2,SR,383.4393,6,6,
2,SR,87.16522,3,9,
2,SR,74.02878,2,4,
2,SR,89.39172,3,4,
2,SR,37.80722,2,2,
2,SR,27.8408546,1,2,
2,SR,42.1047173,2,2,
2,SR,53.813324,4,6,
2,SR,89.54372,1,4,
20,Label,209.949417,2,3,
20,Label,86.89749,1,3,
20,Label,213.737366,3,6,
20,Label,43.78626,1,1,
20,Label,267.3642,5,3,
20,Label,21.3564014,1,1,
20,Label,115.142349,2,2,
20,Label,185.4794,6,5,
20,Label,84.9378738,2,4,
20,Label,77.37581,2,4,
20,Label,93.53472,2,3,
20,Label,81.45011,2,4,
20,P+SR,50.41014,1,3,
20,P+SR,41.4805374,1,2,
20,P+SR,30.3189774,1,1,
20,P+SR,33.5190048,1,2,
20,P+SR,34.89076,1,2,
20,P+SR,44.74319,1,3,
20,P+SR,44.5870476,1,6,
20,P+SR,58.06594,2,4,
20,P+SR,21.8815784,1,1,
20,P+SR,23.1172848,1,2,
20,P+SR,23.2990284,1,3,
20,P+SR,41.05637,1,2,
20,Pointing,30.0051327,2,6,
20,Pointing,19.8140011,1,1,
20,Pointing,29.2088413,2,4,
20,Pointing,32.6256,1,1,
20,Pointing,107.129532,4,2,
20,Pointing,33.4036942,2,3,
20,Pointing,164.025284,6,4,
20,Pointing,22.425499,1,2,
20,Pointing,82.01109,2,4,
20,Pointing,40.5217,1,3,
